Category String,Code,Description,Usage,Specifications,Category String2,Category Name - 1,Category Name - 2,Category Name - 3,Category Name - 4,Category Name - 5,Category Name - 6,Category Name - 7,Category Name - 8,Category Name - 9,Featured Image,Product Image File - 1,Product Image URL - 1,Product Image File - 2,Product Image URL - 2,Product Image File - 3,Product Image URL - 3,Product Image File - 4,Product Image URL - 4,Product Image File - 5,Product Image URL - 5,Product Image File - 6,Product Image URL - 6,Product Image File - 7,Product Image URL - 7,Product Image File - 8,Product Image URL - 8,Product Image File - 9,Product Image URL - 9,Product Image File - 10,Product Image URL - 10,Title
Anaconda,B-WA4," <p>Wall mounting by screw, adhesive or on aluminium wall bracket B-EAWB.... Holds brochures with full height support. 3mm clear acrylic.</p>",,,Anaconda/Brochure Holders ,Brochure Holders ,,,,,,,,,http://www.sjdg.com.au/product_images/t/218/B-WA5-product__49680.jpg,B-WA5-product__49680.jpg,http://www.sjdg.com.au/product_images/t/218/B-WA5-product__49680.jpg,,,,,,,,,,,,,,,,,,,Brochure Holder W/M A4
Anaconda,B-WA5," <p>Wall mounting by screw, adhesive or on aluminium wall bracket B-EAWB.... Holds brochures with full height support. 3mm clear acrylic.</p>",,,Anaconda/Brochure Holders ,Brochure Holders ,,,,,,,,,http://www.sjdg.com.au/product_images/t/218/B-WA5-product__49680.jpg,B-WA5-product__49680.jpg,http://www.sjdg.com.au/product_images/t/218/B-WA5-product__49680.jpg,,,,,,,,,,,,,,,,,,,Brochure Holder W/M A5
Anaconda,B-WA43, <p>Wall mounting by screw or adhesive. 3 x 30mm deep A4 pockets. 3mm clear acrylic.</p>,,,Anaconda/Brochure Holders ,Brochure Holders ,,,,,,,,,http://www.sjdg.com.au/product_images/b/939/B-WA43-product__44660.jpg,B-WA43-usage1__61247.jpg,http://www.sjdg.com.au/product_images/a/928/B-WA43-usage1__61247.jpg,B-WA43-product__44660.jpg,http://www.sjdg.com.au/product_images/b/939/B-WA43-product__44660.jpg,,,,,,,,,,,,,,,,,Brochure Holder W/M A4 x 3
Anaconda,B-WA4D, <p>Wall mounting. 3mm clear acrylic. Holds brochures to 215mm wide. Extra deep 80mm capacity.</p>,,,Anaconda/Brochure Holders ,Brochure Holders ,,,,,,,,,http://www.sjdg.com.au/product_images/w/404/B-WA4D.line__94751.jpg,B-WA4D-product__54959.jpg,http://www.sjdg.com.au/product_images/o/201/B-WA4D-product__54959.jpg,B-WA4D.line__94751.jpg,http://www.sjdg.com.au/product_images/w/404/B-WA4D.line__94751.jpg,,,,,,,,,,,,,,,,,Brochure Holder A4 W/M Deep
Anaconda,C-PG900," <p>Clear plastic poster gripper with hinged section with flexible plastic ""jaws"" to hold material from single sheet paper to 2mm thick. Use with C-PGHC hanging clips.</p>",,,Anaconda/Poster Display System ,Poster Display System ,,,,,,,,,http://www.sjdg.com.au/product_images/w/185/C-PG900-product__75839.jpg,C-PG900-usage2__64881.jpg,http://www.sjdg.com.au/product_images/d/461/C-PG900-usage2__64881.jpg,C-PG-usage1__06352.jpg,http://www.sjdg.com.au/product_images/x/502/C-PG-usage1__06352.jpg,C-PG-usage2__08291.jpg,http://www.sjdg.com.au/product_images/j/046/C-PG-usage2__08291.jpg,C-PG900-product__75839.jpg,http://www.sjdg.com.au/product_images/w/185/C-PG900-product__75839.jpg,,,,,,,,,,,,,Poster Gripper 900mm
Anaconda,C-PGHC, <p>Clear clips to slide into C-PG.. poster gripper channels. Use two or more per channel.</p>,,,Anaconda/Poster Display System ,Poster Display System ,,,,,,,,,http://www.sjdg.com.au/product_images/y/514/C-PGHC-line__86609.jpg,C-PGHC-product__44895.jpg,http://www.sjdg.com.au/product_images/b/727/C-PGHC-product__44895.jpg,C-PG-usage1__52367.jpg,http://www.sjdg.com.au/product_images/m/012/C-PG-usage1__52367.jpg,C-PG-usage2__65606.jpg,http://www.sjdg.com.au/product_images/o/837/C-PG-usage2__65606.jpg,C-PGHC-line__86609.jpg,http://www.sjdg.com.au/product_images/y/514/C-PGHC-line__86609.jpg,,,,,,,,,,,,,Poster Gripper Hanging Clip
Anaconda,D-CC0268, <p>Anaconda Canoe Clips</p> <p>Pack of 10</p>,,,Anaconda/Shelf Management,Shelf Management,,,,,,,,,http://www.sjdg.com.au/product_images/a/022/D-CC0268-product__87896.jpg,D-CC0268-product__87896.jpg,http://www.sjdg.com.au/product_images/a/022/D-CC0268-product__87896.jpg,,,,,,,,,,,,,,,,,,,Canoe Clip 8mm White
Anaconda,D-CT370BK, <p>Super strong black plastic for permanent fixing. Pack of 100.</p>,,,Anaconda/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/y/950/D-CT190BK-product__20476.jpg,D-CT190BK-product__20476.jpg,http://www.sjdg.com.au/product_images/y/950/D-CT190BK-product__20476.jpg,,,,,,,,,,,,,,,,,,,Cable Ties 370mm BLK Pk of 100
Anaconda,D-CT280BK, <p>Super strong black plastic for permanent fixing. Pack of 100.</p>,,,Anaconda/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/y/950/D-CT190BK-product__20476.jpg,D-CT190BK-product__20476.jpg,http://www.sjdg.com.au/product_images/y/950/D-CT190BK-product__20476.jpg,,,,,,,,,,,,,,,,,,,Cable Ties 280mm Black Pk 100
Anaconda,D-CT190BK, <p>Super strong black plastic for permanent fixing. Pack of 100.</p>,,,Anaconda/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/y/950/D-CT190BK-product__20476.jpg,D-CT190BK-product__20476.jpg,http://www.sjdg.com.au/product_images/y/950/D-CT190BK-product__20476.jpg,,,,,,,,,,,,,,,,,,,Cable Ties 190mm Blk Pk of 100
