Category String,Code,Description,Usage,Specifications,Category String2,Category Name - 1,Category Name - 2,Category Name - 3,Category Name - 4,Category Name - 5,Category Name - 6,Category Name - 7,Category Name - 8,Category Name - 9,Featured Image,Product Image File - 1,Product Image URL - 1,Product Image File - 2,Product Image URL - 2,Product Image File - 3,Product Image URL - 3,Product Image File - 4,Product Image URL - 4,Product Image File - 5,Product Image URL - 5,Product Image File - 6,Product Image URL - 6,Product Image File - 7,Product Image URL - 7,Product Image File - 8,Product Image URL - 8,Product Image File - 9,Product Image URL - 9,Product Image File - 10,Product Image URL - 10
Spotlight,D-GFR, <p>Clear PVC 38mm high x 20mm wide. Clips into data strip or display stands to hold POS material up to 3mm thick.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/i/525/D-GFR-usage1__25593.jpg,D-GFR-product__47399.jpg,http://www.sjdg.com.au/product_images/c/649/D-GFR-product__47399.jpg,D-GFR-group__19309.jpg,http://www.sjdg.com.au/product_images/g/257/D-GFR-group__19309.jpg,D-GFR-usage2__49596.jpg,http://www.sjdg.com.au/product_images/g/813/D-GFR-usage2__49596.jpg,D-GFR-usage1__25593.jpg,http://www.sjdg.com.au/product_images/i/525/D-GFR-usage1__25593.jpg,,,,,,,,,,,,
Spotlight,D-GHA, <p>Adhesive backed to display POS material on any flat surface. 38mm long.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/m/738/D-GHA-product__55829.jpg,D-GHA-group__03997.jpg,http://www.sjdg.com.au/product_images/c/973/D-GHA-group__03997.jpg,D-GHA-product__55829.jpg,http://www.sjdg.com.au/product_images/m/738/D-GHA-product__55829.jpg,,,,,,,,,,,,,,,,
Spotlight,D-GHB," <p>Clips over baskets, rails and wire to hold POS material. Use 2 per item.</p> <p>Pack of 50</p>",,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/i/356/D-GHB-product__57086.jpg,D-GHB-productgroup__71410.jpg,http://www.sjdg.com.au/product_images/h/026/D-GHB-productgroup__71410.jpg,Z-PETFASLC-usage__73887.jpg,http://www.sjdg.com.au/product_images/b/918/Z-PETFASLC-usage__73887.jpg,D-GHB-product__57086.jpg,http://www.sjdg.com.au/product_images/i/356/D-GHB-product__57086.jpg,,,,,,,,,,,,,,
Spotlight,D-GHH, <p>Hinged POS holder to clip into datastrip or display stands.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/w/873/D-GHH-product__11522.jpg,D-GHH-product__11522.jpg,http://www.sjdg.com.au/product_images/w/873/D-GHH-product__11522.jpg,,,,,,,,,,,,,,,,,,
Spotlight,D-GHS," <p><span>POS Gripper Holder 25mm (W) with suction Cup, suitable fo windows, cabinets and shelving, suitable for material up to 2mm.</span></p>",,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/c/907/D-GHS-product__73683.jpg,D-GHS-productgroup__50280.jpg,http://www.sjdg.com.au/product_images/y/164/D-GHS-productgroup__50280.jpg,D-GHS-product__73683.jpg,http://www.sjdg.com.au/product_images/c/907/D-GHS-product__73683.jpg,,,,,,,,,,,,,,,,
Spotlight,D-HSCC12BK, <p>Black plastic 750mm long with 12 multi clip stations for perforated or non perforated products. 62 x 30mm header plate.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/u/223/D-HSCC12BK-product__94711.jpg,D-HSCC12BK-product__94711.jpg,http://www.sjdg.com.au/product_images/u/223/D-HSCC12BK-product__94711.jpg,,,,,,,,,,,,,,,,,,
Spotlight,D-HSCC12WE, <p>White plastic 750mm long with 12 multi clip stations for perforated or non perforated products. 62 x 30mm header plate.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/f/845/D-HSCC12WE-product__33235.jpg,D-HSCCWE-usage1__93015.jpg,http://www.sjdg.com.au/product_images/v/575/D-HSCCWE-usage1__93015.jpg,D-HSCCWE-usage2__13557.jpg,http://www.sjdg.com.au/product_images/r/381/D-HSCCWE-usage2__13557.jpg,D-HSCC12WE-product__33235.jpg,http://www.sjdg.com.au/product_images/f/845/D-HSCC12WE-product__33235.jpg,,,,,,,,,,,,,,
Spotlight,D-HT400, <p>Clear adhesive backed tab 40mm wide x 35mm high. Use to convert products to hang sell or repair existing hang sells.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/d/972/D-HT400.line__09995.jpg,D-HT550-product__36504.jpg,http://www.sjdg.com.au/product_images/u/918/D-HT550-product__36504.jpg,D-HT400.line__09995.jpg,http://www.sjdg.com.au/product_images/d/972/D-HT400.line__09995.jpg,,,,,,,,,,,,,,,,
Spotlight,D-HTH, <p>Clear adhesive backed hook 40mm high x 38mm wide. Use to convert products to hang sell.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/g/041/D-HTH__06704.jpg,D-HTH__06704.jpg,http://www.sjdg.com.au/product_images/g/041/D-HTH__06704.jpg,,,,,,,,,,,,,,,,,,
Spotlight,D-HTR, <p>Clear adhesive backed tab 45mm wide to reinforce existing hang sell products.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/d/824/D-HTR-product__60325.jpg,D-HTR-product__60325.jpg,http://www.sjdg.com.au/product_images/d/824/D-HTR-product__60325.jpg,,,,,,,,,,,,,,,,,,
